protocol,field,log_input,message_elements,codeword_elements,actual_inverse_rate,threads,execution_mode,warmups,repetitions,setup_ms,mean_ms,median_ms,min_ms,max_ms,cv_percent,mean_ns_per_input_element,gpu_h2d_mean_ms,gpu_kernel_mean_ms,gpu_d2h_mean_ms,gpu_cuda_total_mean_ms,public_repo_revision,notes
QA,Mersenne127,14,16384,32768,2.000000000,1,serial,5,10,0.508752,2.795435,2.231321,2.216001,4.4659,30.498843,170.61982421874998,,,,,c29f08653121637b456e4705d901d078cd6fc668,current Quasar QA encoder; global Rayon pool fixed to one worker; qa_rows=1 is a single serial CPU codeword; output allocation included
QA-GPU,Mersenne127,14,16384,32768,2.000000000,1,gpu,5,10,1.890923,0.079444,0.078457,0.078012,0.0888,3.938750,4.84886474609375,0.015754,0.042445,0.013446,0.071645,c29f08653121637b456e4705d901d078cd6fc668,pinned H2D + CUDA QA encoding + pinned D2H; CPU/GPU equality checked
RAA,Blazeu64 binary words,14,16384,32768,2.000000000,1,serial,5,10,2.725703,0.651111,0.649620,0.623025,0.6857,2.618540,39.74065551757813,,,,,c29f08653121637b456e4705d901d078cd6fc668,serial rate-1/2 speed experiment using public Blaze encode_bits_ser as-is; input clone/setup excluded; inverse-rate-2 RAA does not inherit the cited inverse-rate>=4 distance theorem; pinned revision repeat_interleave returns repetition instead of constructed new_input
Brakedown,Mersenne127,14,16384,32768,2.000000000,1,serial,5,10,8.640238,5.892288,5.891315,5.886075,5.9025,0.078491,359.6367309570312,,,,,c29f08653121637b456e4705d901d078cd6fc668,Brakedown2 rate-1/2 parameters (alpha=0.3 c_n=11 d_n=22); serial row encoding; output allocation and sparse-matrix setup excluded; row copy included
BaseFold,Mersenne127,14,16384,32768,2.000000000,1,serial,5,10,11.050654,9.170265,8.648369,8.608287,13.3749,15.375661,559.7085815429688,,,,,c29f08653121637b456e4705d901d078cd6fc668,commit-path interpolation + foldable-domain evaluation; Merkle hashing excluded; internal Rayon operations constrained to one global worker
QA,Mersenne127,15,32768,65536,2.000000000,1,serial,5,10,0.866689,4.734857,4.732359,4.713899,4.7698,0.328752,144.4963623046875,,,,,c29f08653121637b456e4705d901d078cd6fc668,current Quasar QA encoder; global Rayon pool fixed to one worker; qa_rows=1 is a single serial CPU codeword; output allocation included
QA-GPU,Mersenne127,15,32768,65536,2.000000000,1,gpu,5,10,2.215900,0.102946,0.102898,0.100063,0.1064,1.610496,3.1416473388671884,0.025098,0.049178,0.021290,0.095565,c29f08653121637b456e4705d901d078cd6fc668,pinned H2D + CUDA QA encoding + pinned D2H; CPU/GPU equality checked
RAA,Blazeu64 binary words,15,32768,65536,2.000000000,1,serial,5,10,5.819164,1.356731,1.357327,1.344361,1.3651,0.494752,41.404153442382814,,,,,c29f08653121637b456e4705d901d078cd6fc668,serial rate-1/2 speed experiment using public Blaze encode_bits_ser as-is; input clone/setup excluded; inverse-rate-2 RAA does not inherit the cited inverse-rate>=4 distance theorem; pinned revision repeat_interleave returns repetition instead of constructed new_input
Brakedown,Mersenne127,15,32768,65536,2.000000000,1,serial,5,10,9.168800,12.364713,12.187009,12.174799,13.9277,4.215487,377.34108276367186,,,,,c29f08653121637b456e4705d901d078cd6fc668,Brakedown2 rate-1/2 parameters (alpha=0.3 c_n=11 d_n=22); serial row encoding; output allocation and sparse-matrix setup excluded; row copy included
BaseFold,Mersenne127,15,32768,65536,2.000000000,1,serial,5,10,21.974124,18.442698,18.450838,18.224768,18.6901,0.629317,562.8264770507813,,,,,c29f08653121637b456e4705d901d078cd6fc668,commit-path interpolation + foldable-domain evaluation; Merkle hashing excluded; internal Rayon operations constrained to one global worker
QA,Mersenne127,16,65536,131072,2.000000000,1,serial,5,10,2.176690,12.871887,12.863485,12.800484,12.9396,0.310285,196.4094116210937,,,,,c29f08653121637b456e4705d901d078cd6fc668,current Quasar QA encoder; global Rayon pool fixed to one worker; qa_rows=1 is a single serial CPU codeword; output allocation included
QA-GPU,Mersenne127,16,65536,131072,2.000000000,1,gpu,5,10,2.522838,0.145478,0.144913,0.143804,0.1491,1.086071,2.219822692871094,0.044966,0.052810,0.040141,0.137917,c29f08653121637b456e4705d901d078cd6fc668,pinned H2D + CUDA QA encoding + pinned D2H; CPU/GPU equality checked
RAA,Blazeu64 binary words,16,65536,131072,2.000000000,1,serial,5,10,12.422594,2.454698,2.453156,2.434786,2.4817,0.637732,37.45572357177734,,,,,c29f08653121637b456e4705d901d078cd6fc668,serial rate-1/2 speed experiment using public Blaze encode_bits_ser as-is; input clone/setup excluded; inverse-rate-2 RAA does not inherit the cited inverse-rate>=4 distance theorem; pinned revision repeat_interleave returns repetition instead of constructed new_input
Brakedown,Mersenne127,16,65536,131072,2.000000000,1,serial,5,10,19.665602,24.180328,24.166404,24.123924,24.2531,0.206336,368.9625213623047,,,,,c29f08653121637b456e4705d901d078cd6fc668,Brakedown2 rate-1/2 parameters (alpha=0.3 c_n=11 d_n=22); serial row encoding; output allocation and sparse-matrix setup excluded; row copy included
BaseFold,Mersenne127,16,65536,131072,2.000000000,1,serial,5,10,43.321713,38.840404,39.195279,37.804818,39.7060,2.131565,592.6575317382813,,,,,c29f08653121637b456e4705d901d078cd6fc668,commit-path interpolation + foldable-domain evaluation; Merkle hashing excluded; internal Rayon operations constrained to one global worker
QA,Mersenne127,17,131072,262144,2.000000000,1,serial,5,10,3.470730,27.213529,27.226765,27.057911,27.2866,0.231024,207.62275238037108,,,,,c29f08653121637b456e4705d901d078cd6fc668,current Quasar QA encoder; global Rayon pool fixed to one worker; qa_rows=1 is a single serial CPU codeword; output allocation included
QA-GPU,Mersenne127,17,131072,262144,2.000000000,1,gpu,5,10,3.090301,0.234049,0.234610,0.227985,0.2392,1.219726,1.785655212402344,0.079661,0.066925,0.079126,0.225712,c29f08653121637b456e4705d901d078cd6fc668,pinned H2D + CUDA QA encoding + pinned D2H; CPU/GPU equality checked
RAA,Blazeu64 binary words,17,131072,262144,2.000000000,1,serial,5,10,24.847810,2.836493,2.833305,2.768724,2.8868,1.061833,21.640726470947268,,,,,c29f08653121637b456e4705d901d078cd6fc668,serial rate-1/2 speed experiment using public Blaze encode_bits_ser as-is; input clone/setup excluded; inverse-rate-2 RAA does not inherit the cited inverse-rate>=4 distance theorem; pinned revision repeat_interleave returns repetition instead of constructed new_input
Brakedown,Mersenne127,17,131072,262144,2.000000000,1,serial,5,10,15.358923,50.369854,50.350800,50.307194,50.4496,0.095457,384.29149246215815,,,,,c29f08653121637b456e4705d901d078cd6fc668,Brakedown2 rate-1/2 parameters (alpha=0.3 c_n=11 d_n=22); serial row encoding; output allocation and sparse-matrix setup excluded; row copy included
BaseFold,Mersenne127,17,131072,262144,2.000000000,1,serial,5,10,82.846320,79.905321,79.537859,77.024967,82.3203,1.794256,609.6292198181153,,,,,c29f08653121637b456e4705d901d078cd6fc668,commit-path interpolation + foldable-domain evaluation; Merkle hashing excluded; internal Rayon operations constrained to one global worker
QA,Mersenne127,18,262144,524288,2.000000000,1,serial,5,10,6.993710,57.347534,57.357256,57.162512,57.5257,0.172517,218.76347961425782,,,,,c29f08653121637b456e4705d901d078cd6fc668,current Quasar QA encoder; global Rayon pool fixed to one worker; qa_rows=1 is a single serial CPU codeword; output allocation included
QA-GPU,Mersenne127,18,262144,524288,2.000000000,1,gpu,5,10,4.280108,0.404114,0.402895,0.398209,0.4148,1.134182,1.5415733337402346,0.143053,0.100701,0.151635,0.395389,c29f08653121637b456e4705d901d078cd6fc668,pinned H2D + CUDA QA encoding + pinned D2H; CPU/GPU equality checked
RAA,Blazeu64 binary words,18,262144,524288,2.000000000,1,serial,5,10,72.609156,6.213486,6.094380,5.967977,7.0891,5.235791,23.70256614685059,,,,,c29f08653121637b456e4705d901d078cd6fc668,serial rate-1/2 speed experiment using public Blaze encode_bits_ser as-is; input clone/setup excluded; inverse-rate-2 RAA does not inherit the cited inverse-rate>=4 distance theorem; pinned revision repeat_interleave returns repetition instead of constructed new_input
Brakedown,Mersenne127,18,262144,524288,2.000000000,1,serial,5,10,31.801000,103.878745,103.853812,103.737490,104.0966,0.110161,396.26596488952634,,,,,c29f08653121637b456e4705d901d078cd6fc668,Brakedown2 rate-1/2 parameters (alpha=0.3 c_n=11 d_n=22); serial row encoding; output allocation and sparse-matrix setup excluded; row copy included
BaseFold,Mersenne127,18,262144,524288,2.000000000,1,serial,5,10,145.321144,169.145143,169.054079,168.910485,169.4811,0.121907,645.2375164031982,,,,,c29f08653121637b456e4705d901d078cd6fc668,commit-path interpolation + foldable-domain evaluation; Merkle hashing excluded; internal Rayon operations constrained to one global worker
QA,Mersenne127,19,524288,1048576,2.000000000,1,serial,5,10,10.804308,119.261125,119.227360,119.147844,119.4647,0.083490,227.47254390716552,,,,,c29f08653121637b456e4705d901d078cd6fc668,current Quasar QA encoder; global Rayon pool fixed to one worker; qa_rows=1 is a single serial CPU codeword; output allocation included
QA-GPU,Mersenne127,19,524288,1048576,2.000000000,1,gpu,5,10,7.009000,0.668104,0.670216,0.659615,0.6747,0.787372,1.2743078231811522,0.190550,0.155027,0.313283,0.658861,c29f08653121637b456e4705d901d078cd6fc668,pinned H2D + CUDA QA encoding + pinned D2H; CPU/GPU equality checked
RAA,Blazeu64 binary words,19,524288,1048576,2.000000000,1,serial,5,10,105.921250,19.728078,19.614120,16.728574,22.6636,11.343410,37.62832336425781,,,,,c29f08653121637b456e4705d901d078cd6fc668,serial rate-1/2 speed experiment using public Blaze encode_bits_ser as-is; input clone/setup excluded; inverse-rate-2 RAA does not inherit the cited inverse-rate>=4 distance theorem; pinned revision repeat_interleave returns repetition instead of constructed new_input
Brakedown,Mersenne127,19,524288,1048576,2.000000000,1,serial,5,10,46.753433,207.768604,207.815663,206.929027,208.2673,0.151257,396.28716354370124,,,,,c29f08653121637b456e4705d901d078cd6fc668,Brakedown2 rate-1/2 parameters (alpha=0.3 c_n=11 d_n=22); serial row encoding; output allocation and sparse-matrix setup excluded; row copy included
BaseFold,Mersenne127,19,524288,1048576,2.000000000,1,serial,5,10,296.088893,387.672099,387.652583,385.428722,389.5708,0.362553,739.4258474349975,,,,,c29f08653121637b456e4705d901d078cd6fc668,commit-path interpolation + foldable-domain evaluation; Merkle hashing excluded; internal Rayon operations constrained to one global worker
QA,Mersenne127,20,1048576,2097152,2.000000000,1,serial,5,10,19.690382,240.470058,240.374390,239.895304,241.0347,0.145097,229.330117893219,,,,,c29f08653121637b456e4705d901d078cd6fc668,current Quasar QA encoder; global Rayon pool fixed to one worker; qa_rows=1 is a single serial CPU codeword; output allocation included
QA-GPU,Mersenne127,20,1048576,2097152,2.000000000,1,gpu,5,10,28.351131,1.215841,1.219888,1.176827,1.2318,1.261120,1.1595161437988282,0.366922,0.237002,0.603530,1.207453,c29f08653121637b456e4705d901d078cd6fc668,pinned H2D + CUDA QA encoding + pinned D2H; CPU/GPU equality checked
RAA,Blazeu64 binary words,20,1048576,2097152,2.000000000,1,serial,5,10,252.271707,65.895459,65.991449,64.308735,66.6955,1.000884,62.842806339263916,,,,,c29f08653121637b456e4705d901d078cd6fc668,serial rate-1/2 speed experiment using public Blaze encode_bits_ser as-is; input clone/setup excluded; inverse-rate-2 RAA does not inherit the cited inverse-rate>=4 distance theorem; pinned revision repeat_interleave returns repetition instead of constructed new_input
Brakedown,Mersenne127,20,1048576,2097152,2.000000000,1,serial,5,10,69.213607,403.176825,403.182160,403.002075,403.3199,0.022430,384.4993824958801,,,,,c29f08653121637b456e4705d901d078cd6fc668,Brakedown2 rate-1/2 parameters (alpha=0.3 c_n=11 d_n=22); serial row encoding; output allocation and sparse-matrix setup excluded; row copy included
BaseFold,Mersenne127,20,1048576,2097152,2.000000000,1,serial,5,10,611.543400,768.849357,768.401378,765.690736,772.4440,0.257398,733.231885433197,,,,,c29f08653121637b456e4705d901d078cd6fc668,commit-path interpolation + foldable-domain evaluation; Merkle hashing excluded; internal Rayon operations constrained to one global worker
